epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.308,1.92044,2.58161,1.8418,0.36202,0.24722,0.23655,0.10143,2.38058,5.49577,2.15172,0.000474735,0.000474735,0.000474735
2,253.511,1.96128,2.22592,1.84478,0.2352,0.26944,0.20489,0.0835,2.53032,3.48536,2.29175,0.000943222,0.000943222,0.000943222
3,378.184,1.94324,2.17758,1.83665,0.35434,0.26971,0.25441,0.10933,2.54741,4.29806,2.4812,0.00140385,0.00140385,0.00140385
4,503.404,1.88278,2.07811,1.7755,0.29179,0.3316,0.26552,0.12291,2.32344,4.45302,2.10061,0.00139363,0.00139363,0.00139363
5,628.682,1.85319,1.95647,1.75462,0.44176,0.28819,0.33713,0.15527,2.36445,3.23414,2.10083,0.00138184,0.00138184,0.00138184
6,754.591,1.80236,1.84312,1.711,0.56936,0.34661,0.38137,0.18659,2.3317,2.82197,2.06687,0.00137005,0.00137005,0.00137005
7,880.869,1.78091,1.77713,1.68235,0.56025,0.34043,0.38237,0.18453,2.28868,3.05142,2.05191,0.00135826,0.00135826,0.00135826
8,1003.39,1.73706,1.72669,1.64683,0.63192,0.33397,0.37366,0.17518,2.35467,2.96275,2.14297,0.00134648,0.00134648,0.00134648
9,1127.48,1.73792,1.67959,1.63829,0.50914,0.42796,0.42148,0.20553,2.17512,2.83716,1.88156,0.00133469,0.00133469,0.00133469
10,1252.44,1.70335,1.63101,1.61749,0.46068,0.36171,0.37116,0.18937,2.16696,3.13665,1.9704,0.0013229,0.0013229,0.0013229
11,1375.48,1.69379,1.59584,1.6147,0.46319,0.39971,0.37206,0.19106,2.15046,3.08744,1.91474,0.00131111,0.00131111,0.00131111
12,1498.72,1.67971,1.56421,1.59474,0.4834,0.43861,0.43006,0.21692,2.0796,2.74449,1.81274,0.00129932,0.00129932,0.00129932
13,1621.85,1.64805,1.53688,1.59111,0.49049,0.38516,0.36316,0.18734,2.23075,3.35494,2.04222,0.00128753,0.00128753,0.00128753
14,1745.22,1.64793,1.5193,1.58898,0.50029,0.42837,0.42567,0.21372,2.0807,2.81977,1.91898,0.00127574,0.00127574,0.00127574
15,1867.27,1.61118,1.48859,1.56642,0.52267,0.42506,0.43901,0.22606,2.13822,2.71602,1.92396,0.00126395,0.00126395,0.00126395
16,1991.72,1.62655,1.45644,1.56522,0.46912,0.46491,0.44,0.2249,2.15924,2.61856,1.92695,0.00125216,0.00125216,0.00125216
17,2114.28,1.59238,1.43928,1.54258,0.55252,0.44127,0.46125,0.24212,2.08737,2.65593,1.89395,0.00124037,0.00124037,0.00124037
