epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.391,1.91743,2.64071,1.82226,0.52678,0.13582,0.1433,0.05735,2.59251,4.29966,2.39022,0.000474735,0.000474735,0.000474735
2,228.797,1.99853,2.27777,1.8786,0.59804,0.19334,0.19033,0.07478,2.59945,4.42676,2.34759,0.000943222,0.000943222,0.000943222
3,339.45,1.98986,2.23729,1.86362,0.26397,0.228,0.18485,0.07733,2.62105,3.7417,2.51449,0.00140385,0.00140385,0.00140385
4,448.86,1.91971,2.08988,1.79423,0.38,0.28042,0.26122,0.11887,2.44578,3.56495,2.20699,0.00139363,0.00139363,0.00139363
5,556.823,1.88748,2.02908,1.76561,0.65551,0.28791,0.29654,0.13199,2.37587,3.14342,2.27882,0.00138184,0.00138184,0.00138184
6,665.202,1.85174,1.92195,1.72191,0.39029,0.39014,0.35499,0.16813,2.35279,2.86844,2.05132,0.00137005,0.00137005,0.00137005
7,773.013,1.82379,1.86009,1.70154,0.42937,0.37589,0.36612,0.16469,2.34472,3.08923,2.27364,0.00135826,0.00135826,0.00135826
8,880.704,1.77321,1.78663,1.67607,0.49809,0.34475,0.34928,0.17731,2.33861,3.15527,2.15846,0.00134648,0.00134648,0.00134648
9,988.394,1.74786,1.71739,1.65144,0.37931,0.34396,0.3301,0.16263,2.29235,3.55247,2.16387,0.00133469,0.00133469,0.00133469
10,1095.41,1.73822,1.67352,1.64458,0.47125,0.33554,0.35889,0.18278,2.33807,3.35254,2.18632,0.0013229,0.0013229,0.0013229
11,1203.88,1.7116,1.63789,1.63128,0.52332,0.3832,0.40717,0.19975,2.27257,2.94811,2.06172,0.00131111,0.00131111,0.00131111
12,1312.78,1.69992,1.62004,1.61733,0.47478,0.37922,0.38955,0.19832,2.29271,3.33868,2.1073,0.00129932,0.00129932,0.00129932
13,1420.8,1.69658,1.60939,1.60506,0.55536,0.39043,0.40237,0.19522,2.19193,3.10277,2.0347,0.00128753,0.00128753,0.00128753
14,1529.79,1.66059,1.56197,1.58865,0.54931,0.37807,0.42334,0.21348,2.17144,2.94094,1.98012,0.00127574,0.00127574,0.00127574
15,1637.42,1.64758,1.52945,1.57453,0.43148,0.4347,0.41292,0.20861,2.08025,2.637,1.85128,0.00126395,0.00126395,0.00126395
16,1745.11,1.64448,1.50837,1.56498,0.59032,0.38368,0.41784,0.21427,2.2213,3.05745,2.02621,0.00125216,0.00125216,0.00125216
17,1853.33,1.63292,1.49035,1.55658,0.52439,0.41306,0.41211,0.21243,2.25641,2.95269,2.09818,0.00124037,0.00124037,0.00124037
18,1961.05,1.62311,1.46338,1.55286,0.49265,0.4212,0.40198,0.21004,2.15696,2.93609,2.01576,0.00122858,0.00122858,0.00122858
