               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084146,            0.033149,            0.029573,             0.52842,             0.21216,             0.14446,             0.05269,            0.074606,            0.016926,            0.033825,            0.070101,           0.0033221,           0.0033221
                   1,            0.063373,            0.028045,            0.010898,              0.3712,              0.3016,             0.25392,            0.090206,            0.069141,            0.014692,            0.014291,            0.039969,           0.0065237,           0.0065237
                   2,            0.059639,             0.02718,           0.0077461,              0.3549,             0.33442,             0.29516,             0.11358,            0.070249,             0.01734,            0.011191,           0.0097051,           0.0095933,           0.0095933
                   3,            0.056448,            0.026665,           0.0079346,             0.37906,              0.3134,             0.27535,             0.10994,            0.074592,            0.014814,            0.023705,            0.009406,            0.009406,            0.009406
                   4,            0.054234,            0.026633,           0.0066294,             0.42615,             0.38808,             0.35935,             0.14602,            0.070774,            0.014346,           0.0081768,            0.009406,            0.009406,            0.009406
                   5,            0.052101,            0.026244,           0.0054863,             0.41953,              0.3489,             0.33971,             0.14141,            0.072328,            0.014822,           0.0091607,            0.009208,            0.009208,            0.009208
                   6,             0.05029,            0.025427,           0.0047352,             0.45204,             0.40144,             0.38242,             0.16593,            0.068091,            0.014724,             0.02114,             0.00901,             0.00901,             0.00901
                   7,            0.049374,            0.024438,           0.0040273,             0.46256,             0.42485,             0.39742,             0.17659,             0.06553,            0.015217,            0.010008,            0.008812,            0.008812,            0.008812
                   8,            0.048407,            0.024629,           0.0036907,             0.55756,              0.4182,             0.42162,             0.19597,            0.066322,            0.014902,            0.033062,            0.008614,            0.008614,            0.008614
                   9,            0.047146,            0.024239,           0.0036865,              0.4944,             0.46122,             0.43841,              0.2023,             0.06297,            0.014363,           0.0046608,            0.008416,            0.008416,            0.008416
                  10,            0.047107,            0.024121,           0.0033034,             0.59005,             0.44033,              0.4463,             0.21167,            0.062429,             0.01537,            0.014598,            0.008218,            0.008218,            0.008218
                  11,            0.045782,            0.024201,           0.0034027,             0.45631,             0.46229,             0.44059,             0.21101,            0.060004,             0.01512,             0.01138,             0.00802,             0.00802,             0.00802
                  12,            0.045352,            0.023285,            0.002925,             0.59087,             0.46167,             0.46794,             0.21671,            0.062121,            0.015365,            0.013758,            0.007822,            0.007822,            0.007822
                  13,            0.044824,            0.023502,           0.0030396,             0.58611,             0.44509,             0.45254,             0.20924,            0.065502,            0.015689,           0.0091876,            0.007624,            0.007624,            0.007624
                  14,            0.044351,            0.023177,           0.0026274,             0.54344,             0.45978,             0.45844,              0.2096,            0.067611,            0.014145,           0.0056416,            0.007426,            0.007426,            0.007426
                  15,            0.043938,            0.023068,           0.0028423,             0.55705,             0.46997,             0.46907,             0.22359,            0.061457,            0.014988,            0.013703,            0.007228,            0.007228,            0.007228
                  16,             0.04341,            0.023348,           0.0023852,             0.57555,             0.52261,             0.50917,              0.2294,            0.058417,            0.014006,           0.0061059,             0.00703,             0.00703,             0.00703
                  17,            0.042515,            0.022554,           0.0021397,             0.58992,              0.4769,             0.47333,             0.23249,            0.065803,            0.014941,            0.011783,            0.006832,            0.006832,            0.006832
                  18,            0.042199,            0.022481,           0.0022824,             0.55207,             0.50723,             0.48848,             0.23554,            0.062273,            0.014989,            0.008406,            0.006634,            0.006634,            0.006634
                  19,             0.04221,            0.022505,           0.0020215,             0.57684,              0.4943,             0.49965,             0.24247,            0.062355,            0.014053,            0.010696,            0.006436,            0.006436,            0.006436
                  20,            0.041296,            0.021482,           0.0020295,             0.59383,             0.48058,             0.49201,             0.23381,            0.063053,            0.014766,            0.011863,            0.006238,            0.006238,            0.006238
                  21,             0.04089,            0.021709,           0.0017945,             0.54704,               0.473,             0.47155,             0.23718,            0.065952,            0.014214,           0.0097781,             0.00604,             0.00604,             0.00604
                  22,            0.040518,            0.021694,           0.0018988,              0.6465,             0.49004,              0.5181,              0.2624,            0.059576,             0.01469,           0.0092461,            0.005842,            0.005842,            0.005842
                  23,            0.040324,            0.021561,            0.001997,             0.58502,             0.50922,             0.51823,             0.25856,             0.06142,            0.013685,           0.0083937,            0.005644,            0.005644,            0.005644
                  24,            0.040019,            0.021229,           0.0017038,              0.6323,             0.50868,             0.52645,             0.25906,            0.059645,            0.014392,           0.0075758,            0.005446,            0.005446,            0.005446
                  25,            0.039603,            0.021321,           0.0018091,             0.63773,             0.52623,             0.53059,             0.26393,            0.060111,            0.014963,           0.0039553,            0.005248,            0.005248,            0.005248
                  26,            0.038808,            0.021064,           0.0015066,             0.60126,             0.51035,             0.51068,             0.25275,            0.060066,            0.015063,           0.0072325,             0.00505,             0.00505,             0.00505
                  27,             0.03834,            0.020469,           0.0015447,             0.62727,             0.49281,             0.50989,             0.26311,            0.063327,            0.014432,           0.0084747,            0.004852,            0.004852,            0.004852
                  28,            0.037963,            0.020616,           0.0014685,             0.59299,             0.51146,             0.51267,              0.2591,            0.066179,            0.013918,           0.0035132,            0.004654,            0.004654,            0.004654
                  29,            0.037893,            0.020603,           0.0013815,             0.65633,             0.52774,             0.54335,              0.2751,            0.059897,             0.01402,           0.0061343,            0.004456,            0.004456,            0.004456
                  30,            0.037426,            0.020411,           0.0014773,             0.56699,             0.52578,             0.50607,             0.25983,             0.06206,            0.014192,           0.0056947,            0.004258,            0.004258,            0.004258
                  31,             0.03693,            0.019695,           0.0013877,             0.61103,             0.54005,             0.53317,              0.2673,            0.064219,            0.013743,           0.0056827,             0.00406,             0.00406,             0.00406
                  32,              0.0365,            0.019854,           0.0011744,             0.64865,             0.52026,             0.53243,             0.27369,            0.062547,            0.014232,           0.0068169,            0.003862,            0.003862,            0.003862
                  33,            0.036274,            0.019828,           0.0012094,             0.67772,             0.53205,              0.5543,             0.28122,             0.06035,            0.014242,           0.0054977,            0.003664,            0.003664,            0.003664
                  34,            0.035778,            0.019408,           0.0011741,             0.65211,             0.53405,             0.54615,             0.27624,            0.064554,            0.013641,           0.0044041,            0.003466,            0.003466,            0.003466
                  35,             0.03556,            0.019753,           0.0011632,             0.63978,             0.53278,             0.54151,             0.27611,            0.062856,            0.014285,           0.0043557,            0.003268,            0.003268,            0.003268
                  36,            0.034934,             0.01966,          0.00093766,             0.60353,             0.54223,             0.52861,             0.26835,            0.061179,            0.014924,            0.007068,             0.00307,             0.00307,             0.00307
                  37,             0.03485,            0.019038,            0.001008,             0.64907,              0.5446,               0.556,              0.2807,            0.059771,            0.014233,           0.0042354,            0.002872,            0.002872,            0.002872
                  38,            0.034324,            0.018927,           0.0010304,             0.65436,             0.53283,             0.54488,             0.27913,            0.064225,            0.014472,           0.0070487,            0.002674,            0.002674,            0.002674
                  39,            0.034041,            0.019026,           0.0010902,             0.65324,             0.53729,             0.54026,             0.28414,            0.064886,            0.014012,           0.0048837,            0.002476,            0.002476,            0.002476
                  40,            0.033678,            0.018765,          0.00096423,             0.64401,             0.54905,             0.55377,             0.28397,            0.060895,            0.014486,           0.0035598,            0.002278,            0.002278,            0.002278
                  41,            0.033508,            0.018804,          0.00094034,             0.62291,             0.57278,             0.56146,             0.28865,            0.061278,            0.013986,            0.004938,             0.00208,             0.00208,             0.00208
                  42,            0.033239,            0.018868,          0.00093635,              0.6467,             0.55655,             0.56145,             0.29321,            0.059197,            0.014484,           0.0028617,            0.001882,            0.001882,            0.001882
                  43,            0.032416,            0.017834,          0.00079761,              0.6375,             0.55101,              0.5553,             0.29275,            0.061442,            0.014575,             0.00445,            0.001684,            0.001684,            0.001684
                  44,            0.032241,            0.017846,          0.00081093,             0.64849,             0.52588,             0.54339,             0.28534,            0.061701,            0.014928,           0.0054253,            0.001486,            0.001486,            0.001486
                  45,            0.031772,            0.017751,          0.00076719,             0.62047,             0.54559,             0.53819,             0.28641,            0.063344,            0.014621,           0.0053248,            0.001288,            0.001288,            0.001288
                  46,            0.031692,            0.017981,          0.00077086,             0.66978,              0.5372,             0.55254,             0.29148,            0.063044,            0.015055,           0.0056068,             0.00109,             0.00109,             0.00109
                  47,            0.031456,            0.017444,          0.00071934,             0.64933,             0.54521,             0.55319,             0.29016,            0.061444,            0.014898,           0.0056567,            0.000892,            0.000892,            0.000892
                  48,            0.031065,            0.017588,          0.00070669,             0.68434,             0.53881,             0.56175,             0.29892,            0.062686,            0.014542,           0.0054754,            0.000694,            0.000694,            0.000694
                  49,            0.030933,            0.017437,           0.0006554,             0.63505,             0.55334,             0.55315,             0.29569,            0.063252,            0.014778,           0.0051498,            0.000496,            0.000496,            0.000496
