epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.6212,0.62851,2.10558,1.21103,0.2607,0.5451,0.33997,0.23995,0.86558,1.68387,1.06997,0.000474235,0.000474235,0.000474235
2,179.823,0.56884,1.74553,1.15786,0.20965,0.67362,0.32131,0.22145,1.06378,1.88686,1.40338,0.000931747,0.000931747,0.000931747
3,265.56,0.51929,1.66378,1.12918,0.30582,0.283,0.20084,0.09576,2.10371,2.14852,2.30668,0.0013704,0.0013704,0.0013704
4,354.303,0.48969,1.64486,1.10719,0.40532,0.7907,0.46657,0.43021,0.44889,1.31648,0.62824,0.00134412,0.00134412,0.00134412
5,441.181,0.43337,1.54658,1.07269,0.44926,0.75145,0.54064,0.47996,0.44332,1.29759,0.56477,0.00131582,0.00131582,0.00131582
6,526.588,0.40112,1.48142,1.05543,0.52193,0.67236,0.60292,0.54088,0.48909,1.10508,0.54262,0.00128753,0.00128753,0.00128753
7,614.029,0.37145,1.44761,1.03422,0.47267,0.66137,0.61704,0.59908,0.31071,1.03032,0.44843,0.00125923,0.00125923,0.00125923
8,699.338,0.33832,1.40603,1.01621,0.49289,0.79443,0.6674,0.66584,0.29444,0.85439,0.446,0.00123094,0.00123094,0.00123094
9,784.93,0.33105,1.36451,1.01667,0.44222,0.71737,0.57664,0.541,0.31883,1.09754,0.42831,0.00120265,0.00120265,0.00120265
10,870.099,0.3331,1.36752,1.01279,0.48712,0.78657,0.64465,0.61649,0.35311,0.93118,0.4911,0.00117435,0.00117435,0.00117435
11,955.286,0.31429,1.34153,1.00152,0.57452,0.80259,0.65053,0.63222,0.36689,0.82865,0.49096,0.00114606,0.00114606,0.00114606
12,1040.46,0.30141,1.30948,0.99532,0.49538,0.73201,0.58931,0.52989,0.54416,1.04969,0.71011,0.00111776,0.00111776,0.00111776
13,1124.7,0.28033,1.28038,0.98429,0.56813,0.79608,0.65849,0.61923,0.26335,0.89289,0.38707,0.00108947,0.00108947,0.00108947
14,1208.39,0.28967,1.27998,0.98995,0.53315,0.82789,0.67117,0.66943,0.29709,0.91784,0.41771,0.00106118,0.00106118,0.00106118
15,1292.82,0.27308,1.25961,0.98585,0.53939,0.80837,0.6522,0.6496,0.24218,0.8524,0.34953,0.00103288,0.00103288,0.00103288
16,1379.02,0.27364,1.26068,0.9821,0.57355,0.81015,0.66285,0.65263,0.26143,0.88446,0.37972,0.00100459,0.00100459,0.00100459
17,1465.04,0.27022,1.24536,0.98287,0.53146,0.78024,0.62744,0.60724,0.30958,0.92607,0.4005,0.000976293,0.000976293,0.000976293
18,1550.83,0.26152,1.21453,0.97758,0.53103,0.82419,0.63697,0.59938,0.35823,0.96168,0.45964,0.000947999,0.000947999,0.000947999
19,1637.08,0.26147,1.22384,0.97858,0.49117,0.75175,0.60961,0.56352,0.26669,0.99259,0.36233,0.000919704,0.000919704,0.000919704
20,1722.7,0.24949,1.20733,0.97076,0.59556,0.84379,0.66529,0.63799,0.29546,0.79872,0.37625,0.00089141,0.00089141,0.00089141
21,1807.03,0.24456,1.19738,0.96782,0.52675,0.79743,0.71941,0.71573,0.23157,0.82029,0.31851,0.000863116,0.000863116,0.000863116
22,1892.28,0.2459,1.19169,0.96911,0.58577,0.78389,0.67729,0.67631,0.28477,0.8755,0.39385,0.000834822,0.000834822,0.000834822
23,1977.88,0.2323,1.18325,0.96325,0.57265,0.80362,0.68228,0.6681,0.27433,0.79302,0.37957,0.000806528,0.000806528,0.000806528
24,2063.23,0.22935,1.16567,0.95664,0.59208,0.74805,0.68104,0.67769,0.21962,0.79121,0.31725,0.000778233,0.000778233,0.000778233
25,2148.34,0.23,1.15838,0.96193,0.59147,0.8504,0.67155,0.66659,0.30779,0.83406,0.38788,0.000749939,0.000749939,0.000749939
26,2232.74,0.23363,1.15016,0.96399,0.56393,0.80609,0.66438,0.64293,0.28865,0.93465,0.39981,0.000721645,0.000721645,0.000721645
