epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.25,1.93646,2.56888,1.832,0.21542,0.26416,0.18268,0.07829,2.43701,5.62876,2.32256,0.000474735,0.000474735,0.000474735
2,234.326,1.97592,2.26417,1.86071,0.5324,0.25886,0.22732,0.10268,2.43007,3.80486,2.27151,0.000932237,0.000932237,0.000932237
3,349.385,1.95469,2.18085,1.82888,0.37678,0.24892,0.21352,0.08926,2.42768,3.85305,2.21393,0.00137088,0.00137088,0.00137088
4,464.284,1.89619,2.08134,1.77963,0.3913,0.35081,0.32531,0.14351,2.40426,3.30019,2.12284,0.00134412,0.00134412,0.00134412
5,581.356,1.86223,1.97472,1.76266,0.52078,0.31024,0.32737,0.15463,2.32468,3.73138,2.10452,0.00131582,0.00131582,0.00131582
6,697.753,1.81791,1.8805,1.71871,0.47617,0.3359,0.35216,0.16968,2.34077,3.12794,2.16261,0.00128753,0.00128753,0.00128753
7,813.736,1.77237,1.78879,1.68033,0.44784,0.38085,0.37592,0.17668,2.29277,2.98263,2.03202,0.00125923,0.00125923,0.00125923
8,930.921,1.74919,1.71448,1.65596,0.47672,0.38548,0.37951,0.18308,2.18506,3.19727,1.99751,0.00123094,0.00123094,0.00123094
9,1046.79,1.70765,1.63038,1.62967,0.56921,0.403,0.43221,0.20705,2.12448,2.51987,1.91954,0.00120265,0.00120265,0.00120265
10,1161.16,1.67427,1.58953,1.6084,0.49874,0.39126,0.39989,0.20014,2.20231,3.38577,2.04209,0.00117435,0.00117435,0.00117435
11,1276.41,1.66892,1.53814,1.59062,0.45624,0.40493,0.37377,0.19156,2.15773,3.07101,1.99987,0.00114606,0.00114606,0.00114606
12,1390.67,1.65304,1.54015,1.58838,0.51714,0.39858,0.41027,0.20961,2.16218,3.29122,1.93151,0.00111776,0.00111776,0.00111776
13,1506.04,1.63251,1.51309,1.56341,0.57315,0.39542,0.42952,0.21385,2.10824,2.93056,1.84214,0.00108947,0.00108947,0.00108947
14,1621.72,1.61894,1.47481,1.55318,0.53694,0.41904,0.4464,0.2236,2.08939,2.75619,1.90526,0.00106118,0.00106118,0.00106118
15,1736.65,1.59832,1.45697,1.54148,0.5228,0.42063,0.40549,0.21175,2.13133,2.97388,1.94387,0.00103288,0.00103288,0.00103288
16,1850.2,1.58365,1.4246,1.53671,0.58735,0.43757,0.46189,0.23578,2.08379,2.63527,1.90572,0.00100459,0.00100459,0.00100459
